ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
15; 57; 5.862; 1.270; 3.980; 2.557; 2.509; 0.583;
15; 57; 5.912; 1.270; 3.980; 2.557; 2.508; 0.584;
15; 57; 5.962; 1.270; 3.983; 2.556; 2.508; 0.584;
15; 57; 6.012; 1.270; 3.986; 2.553; 2.509; 0.583;
15; 57; 6.062; 1.270; 3.988; 2.552; 2.510; 0.583;
15; 57; 6.112; 1.270; 3.990; 2.550; 2.511; 0.584;
15; 57; 6.162; 1.270; 3.989; 2.551; 2.511; 0.583;
15; 57; 6.212; 1.270; 3.991; 2.553; 2.511; 0.582;
15; 57; 6.262; 1.270; 3.983; 2.556; 2.510; 0.583;
15; 57; 6.312; 1.270; 3.979; 2.558; 2.510; 0.583;
15; 57; 6.362; 1.270; 3.979; 2.558; 2.509; 0.581;
15; 57; 6.412; 1.270; 3.980; 2.557; 2.509; 0.584;
15; 57; 6.462; 1.270; 3.981; 2.556; 2.509; 0.582;
15; 57; 6.512; 1.270; 3.984; 2.555; 2.508; 0.583;
15; 57; 6.562; 1.270; 3.984; 2.554; 2.509; 0.583;
15; 57; 6.612; 1.270; 3.986; 2.553; 2.509; 0.583;
15; 57; 6.662; 1.270; 3.988; 2.552; 2.509; 0.582;
15; 57; 6.712; 1.270; 3.989; 2.550; 2.510; 0.582;
15; 57; 6.879; 1.270; 3.979; 2.557; 2.510; 0.582;
15; 57; 6.929; 1.270; 3.979; 2.557; 2.509; 0.581;
15; 57; 6.979; 1.270; 3.980; 2.557; 2.509; 0.583;
15; 57; 7.029; 1.270; 3.983; 2.555; 2.508; 0.583;
15; 57; 7.079; 1.270; 3.986; 2.553; 2.509; 0.583;
15; 57; 7.129; 1.270; 3.987; 2.552; 2.510; 0.582;
15; 57; 7.179; 1.270; 3.989; 2.550; 2.510; 0.582;
15; 57; 7.229; 1.270; 3.988; 2.551; 2.510; 0.582;
15; 57; 7.279; 1.270; 3.989; 2.554; 2.510; 0.582;
15; 57; 7.329; 1.270; 3.983; 2.556; 2.510; 0.581;
15; 57; 7.379; 1.270; 3.978; 2.558; 2.510; 0.583;
15; 57; 7.429; 1.270; 3.979; 2.556; 2.510; 0.582;
15; 57; 7.479; 1.270; 3.981; 2.557; 2.509; 0.581;
15; 57; 7.529; 1.270; 3.984; 2.555; 2.509; 0.582;
15; 57; 7.579; 1.270; 3.985; 2.554; 2.508; 0.582;
15; 57; 7.629; 1.270; 3.987; 2.552; 2.510; 0.581;
15; 57; 7.679; 1.270; 3.990; 2.550; 2.510; 0.582;
15; 57; 7.729; 1.270; 3.989; 2.551; 2.511; 0.582;
15; 57; 7.779; 1.270; 3.989; 2.553; 2.511; 0.582;
15; 57; 7.829; 1.270; 3.984; 2.556; 2.511; 0.582;
15; 57; 7.879; 1.270; 3.979; 2.557; 2.510; 0.582;
15; 57; 7.929; 1.270; 3.978; 2.557; 2.509; 0.582;
15; 57; 7.979; 1.270; 3.979; 2.557; 2.509; 0.580;
15; 57; 8.029; 1.270; 3.980; 2.558; 2.509; 0.581;
15; 57; 8.079; 1.270; 3.982; 2.555; 2.509; 0.582;
15; 57; 8.129; 1.270; 3.983; 2.554; 2.509; 0.581;
15; 57; 8.179; 1.270; 3.986; 2.553; 2.509; 0.581;
15; 57; 8.229; 1.270; 3.987; 2.550; 2.510; 0.581;
15; 57; 8.279; 1.270; 3.989; 2.550; 2.510; 0.582;
15; 57; 8.329; 1.270; 3.989; 2.550; 2.511; 0.581;
15; 57; 8.490; 1.270; 3.979; 2.557; 2.509; 0.580;
15; 57; 8.540; 1.270; 3.980; 2.556; 2.509; 0.580;
15; 57; 8.590; 1.270; 3.982; 2.556; 2.509; 0.581;
15; 57; 8.640; 1.270; 3.985; 2.553; 2.508; 0.580;
15; 57; 8.690; 1.270; 3.988; 2.551; 2.510; 0.581;
15; 57; 8.740; 1.270; 3.989; 2.550; 2.511; 0.580;
15; 57; 8.790; 1.270; 3.988; 2.552; 2.511; 0.581;
15; 57; 8.840; 1.270; 3.988; 2.554; 2.511; 0.581;
15; 57; 8.890; 1.270; 3.982; 2.556; 2.511; 0.580;
15; 57; 8.940; 1.270; 3.979; 2.556; 2.509; 0.581;
