ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
8; 54; 19.461; 0.000; 1.399; 2.509; 2.505; 0.309;
8; 54; 19.511; 0.000; 1.403; 2.510; 2.506; 0.307;
8; 54; 19.561; 0.000; 1.394; 2.510; 2.506; 0.313;
8; 54; 19.611; 0.000; 1.385; 2.509; 2.505; 0.316;
8; 54; 19.661; 0.000; 1.386; 2.509; 2.506; 0.318;
8; 54; 19.711; 0.000; 1.392; 2.510; 2.505; 0.318;
8; 54; 19.761; 0.000; 1.404; 2.510; 2.505; 0.307;
8; 54; 19.811; 0.000; 1.400; 2.510; 2.505; 0.308;
8; 54; 19.861; 0.000; 1.388; 2.510; 2.505; 0.313;
8; 54; 19.911; 0.000; 1.385; 2.510; 2.506; 0.320;
8; 54; 19.961; 0.000; 1.389; 2.510; 2.506; 0.318;
8; 54; 20.011; 0.000; 1.399; 2.509; 2.506; 0.307;
8; 54; 20.061; 0.000; 1.403; 2.510; 2.505; 0.310;
8; 54; 20.111; 0.000; 1.394; 2.510; 2.506; 0.313;
8; 54; 20.161; 0.000; 1.384; 2.509; 2.505; 0.318;
8; 54; 20.211; 0.000; 1.386; 2.510; 2.505; 0.316;
8; 54; 20.261; 0.000; 1.391; 2.510; 2.506; 0.318;
8; 54; 20.311; 0.000; 1.404; 2.510; 2.506; 0.308;
8; 54; 20.361; 0.000; 1.402; 2.510; 2.506; 0.308;
8; 54; 20.411; 0.000; 1.391; 2.509; 2.505; 0.313;
8; 54; 20.461; 0.000; 1.385; 2.510; 2.505; 0.320;
8; 54; 20.511; 0.000; 1.388; 2.510; 2.505; 0.318;
8; 54; 20.561; 0.000; 1.398; 2.509; 2.506; 0.308;
8; 54; 20.611; 0.000; 1.404; 2.510; 2.505; 0.310;
8; 54; 20.890; 0.000; 1.401; 2.510; 2.505; 0.309;
8; 54; 20.940; 0.000; 1.388; 2.509; 2.505; 0.313;
8; 54; 20.990; 0.000; 1.386; 2.510; 2.505; 0.319;
8; 54; 21.040; 0.000; 1.391; 2.510; 2.505; 0.317;
8; 54; 21.090; 0.000; 1.404; 2.510; 2.505; 0.308;
8; 54; 21.140; 0.000; 1.400; 2.510; 2.505; 0.309;
8; 54; 21.190; 0.000; 1.387; 2.510; 2.505; 0.314;
8; 54; 21.240; 0.000; 1.385; 2.510; 2.505; 0.319;
8; 54; 21.290; 0.000; 1.390; 2.509; 2.505; 0.318;
8; 54; 21.340; 0.000; 1.402; 2.510; 2.505; 0.308;
8; 54; 21.390; 0.000; 1.403; 2.510; 2.506; 0.309;
8; 54; 21.440; 0.000; 1.394; 2.510; 2.506; 0.313;
8; 54; 21.490; 0.000; 1.384; 2.510; 2.505; 0.316;
