ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura/100;
16; 20; 25.044;-1.050; 3.598; 2.463; 2.496; 0.320;
16; 20; 25.094;-1.050; 3.598; 2.463; 2.496; 0.302;
16; 20; 25.144;-1.050; 3.599; 2.463; 2.496; 0.319;
16; 20; 25.194;-1.050; 3.598; 2.463; 2.496; 0.319;
16; 20; 25.244;-1.050; 3.599; 2.463; 2.496; 0.302;
16; 20; 25.294;-1.050; 3.599; 2.463; 2.496; 0.320;
16; 20; 25.344;-1.050; 3.598; 2.463; 2.497; 0.321;
16; 20; 25.394;-1.050; 3.599; 2.463; 2.496; 0.306;
16; 20; 25.545;-1.070; 3.599; 2.463; 2.497; 0.307;
16; 20; 25.595;-1.070; 3.599; 2.462; 2.497; 0.314;
16; 20; 25.645;-1.070; 3.599; 2.463; 2.496; 0.320;
16; 20; 25.695;-1.070; 3.600; 2.464; 2.496; 0.307;
16; 20; 25.745;-1.070; 3.599; 2.462; 2.496; 0.314;
16; 20; 25.795;-1.070; 3.599; 2.462; 2.497; 0.321;
16; 20; 25.845;-1.070; 3.599; 2.463; 2.496; 0.306;
16; 20; 25.895;-1.070; 3.599; 2.463; 2.496; 0.308;
16; 20; 25.945;-1.070; 3.599; 2.463; 2.497; 0.325;
16; 20; 25.995;-1.070; 3.599; 2.463; 2.496; 0.310;
16; 20; 26.045;-1.070; 3.599; 2.463; 2.497; 0.304;
16; 20; 26.095;-1.070; 3.599; 2.463; 2.496; 0.327;
16; 20; 26.145;-1.070; 3.600; 2.463; 2.496; 0.314;
16; 20; 26.195;-1.070; 3.600; 2.463; 2.496; 0.300;
16; 20; 26.245;-1.070; 3.599; 2.463; 2.496; 0.325;
16; 20; 26.295;-1.070; 3.599; 2.463; 2.496; 0.317;
16; 20; 26.345;-1.070; 3.599; 2.463; 2.496; 0.303;
16; 20; 26.395;-1.070; 3.599; 2.463; 2.496; 0.318;
16; 20; 26.445;-1.070; 3.600; 2.463; 2.496; 0.320;
16; 20; 26.495;-1.070; 3.599; 2.463; 2.496; 0.303;
16; 20; 26.545;-1.070; 3.600; 2.463; 2.496; 0.318;
16; 20; 26.595;-1.070; 3.599; 2.463; 2.496; 0.320;
16; 20; 26.645;-1.070; 3.599; 2.463; 2.496; 0.305;
16; 20; 26.695;-1.070; 3.599; 2.464; 2.496; 0.313;
16; 20; 26.745;-1.070; 3.599; 2.464; 2.496; 0.320;
16; 20; 26.795;-1.070; 3.600; 2.463; 2.497; 0.306;
16; 20; 26.845;-1.070; 3.600; 2.463; 2.497; 0.314;
16; 20; 26.895;-1.070; 3.600; 2.464; 2.497; 0.321;
16; 20; 26.945;-1.070; 3.601; 2.463; 2.497; 0.306;
16; 20; 26.995;-1.070; 3.600; 2.463; 2.497; 0.308;
16; 20; 27.144;-1.060; 3.600; 2.464; 2.497; 0.326;
16; 20; 27.194;-1.060; 3.599; 2.464; 2.496; 0.311;
16; 20; 27.244;-1.060; 3.600; 2.463; 2.496; 0.302;
16; 20; 27.294;-1.060; 3.600; 2.464; 2.496; 0.326;
16; 20; 27.344;-1.060; 3.600; 2.463; 2.496; 0.310;
16; 20; 27.394;-1.060; 3.600; 2.463; 2.495; 0.305;
16; 20; 27.444;-1.060; 3.600; 2.463; 2.496; 0.326;
16; 20; 27.494;-1.060; 3.600; 2.463; 2.496; 0.308;
16; 20; 27.544;-1.060; 3.600; 2.463; 2.496; 0.306;
16; 20; 27.594;-1.060; 3.600; 2.463; 2.497; 0.326;
16; 20; 27.644;-1.060; 3.600; 2.463; 2.496; 0.307;
16; 20; 27.694;-1.060; 3.600; 2.463; 2.497; 0.305;
16; 20; 27.744;-1.060; 3.601; 2.463; 2.496; 0.326;
16; 20; 27.794;-1.060; 3.600; 2.463; 2.496; 0.309;
16; 20; 27.844;-1.060; 3.600; 2.463; 2.496; 0.306;
16; 20; 27.894;-1.060; 3.600; 2.463; 2.497; 0.326;
16; 20; 27.944;-1.060; 3.601; 2.463; 2.497; 0.308;
16; 20; 27.994;-1.060; 3.600; 2.463; 2.496; 0.306;
16; 20; 28.044;-1.060; 3.601; 2.464; 2.496; 0.325;
16; 20; 28.094;-1.060; 3.602; 2.462; 2.496; 0.307;
